Emergency 999 DBMS - Seeded User Accounts
===========================================
All accounts use password: password

Name                           | Email                               | Role         | Password  
Paramedic Belal Hossain        | belal@999.local                     | responder    | password  
Dr. Asif Iqbal                 | asifi@999.local                     | responder    | password  
Paramedic Salma Khatun         | salmak@999.local                    | responder    | password  
Dr. Shahriar Kabir             | shahriar@999.local                  | responder    | password  
Paramedic Nigar Sultana        | nigar@999.local                     | responder    | password  
Dr. Rashed Ahmed               | rasheda@999.local                   | responder    | password  
Paramedic Jewel Rana           | jewel@999.local                     | responder    | password  
Dr. Farzana Yasmin             | farzana@999.local                   | responder    | password  
Dr. Munir Chowdhury            | munir@999.local                     | responder    | password  
Paramedic Halima Sadia         | halima@999.local                    | responder    | password  
Dr. Tareq Hasan                | tareqh@999.local                    | responder    | password  
Paramedic Rafiqul Islam        | rafiquli@999.local                  | responder    | password  
Dr. Sabiha Jahan               | sabiha@999.local                    | responder    | password  
Paramedic Aminul Haque         | aminul@999.local                    | responder    | password  
Dr. Tanvir Hasan               | tanvirh@999.local                   | responder    | password  
Paramedic Shirin Akter         | shirina@999.local                   | responder    | password  
Dr. Mahmudul Hasan             | mahmudul@999.local                  | responder    | password  
Paramedic Alamgir Kabir        | alamgir@999.local                   | responder    | password  
Dr. Rehana Sultana             | rehana@999.local                    | responder    | password  
Paramedic Jahir Uddin          | jahiru@999.local                    | responder    | password  
Sgt. Abu Bakar                 | abubakar@999.local                  | responder    | password  
ASI Mukta Begum                | muktab@999.local                    | responder    | password  
SI Delwar Hossain              | delwar@999.local                    | responder    | password  
ASI Ripon Mia                  | riponm@999.local                    | responder    | password  
SI Farhana Akter               | farhanaa@999.local                  | responder    | password  
Sgt. Monirul Islam             | monirul@999.local                   | responder    | password  
ASI Kaniz Fatima               | kanizf@999.local                    | responder    | password  
SI Mahfuzur Rahman             | mahfuzr@999.local                   | responder    | password  
ASI Sohel Rana                 | sohelr@999.local                    | responder    | password  
SI Taslima Begum               | taslimab@999.local                  | responder    | password  
SI Mominul Haque               | mominul@999.local                   | responder    | password  
ASI Jesmin Ara                 | jesmin@999.local                    | responder    | password  
Sgt. Ziaur Rahman              | ziaur@999.local                     | responder    | password  
ASI Babul Mia                  | babul@999.local                     | responder    | password  
SI Rokeya Begum                | rokeya@999.local                    | responder    | password  
ASI Masum Billah               | masumb@999.local                    | responder    | password  
Lt. Shafiqul Islam             | shafiqul@999.local                  | responder    | password  
Sgt. Rubel Mia                 | rubelm@999.local                    | responder    | password  
FF. Aminul Islam               | aminuli@999.local                   | responder    | password  
FF. Habibur Rahman             | habibur@999.local                   | responder    | password  
FF. Nazim Uddin                | nazim@999.local                     | responder    | password  
FF. Murad Hossain              | murad@999.local                     | responder    | password  
Lt. Tanvir Ahmed               | tanvira@999.local                   | responder    | password  
Sgt. Lutfur Rahman             | lutfur@999.local                    | responder    | password  
FF. Shakil Khan                | shakilk@999.local                   | responder    | password  
FF. Mizanur Rahman             | mizanm@999.local                    | responder    | password  
FF. Jamil Hasan                | jamil@999.local                     | responder    | password  
FF. Sohel Rana                 | sohelra@999.local                   | responder    | password  
